patient,edf_file,edf_path,sampling_rate,n_channels,n_samples,is_good,nan_ratio,flat_ratio,flat_channels,clipped_ratio,mean_amplitude,max_amplitude
chb01,chb01_01.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_01.edf,256,17,921600,True,0.0,0.0,[],0.0,2.2947258582920347e-05,0.0010379487179487
chb01,chb01_02.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_02.edf,256,17,921600,True,0.0,0.0,[],0.0,2.146474196872481e-05,0.0013876434676434
chb01,chb01_03.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_03.edf,256,17,921600,True,0.0,0.0,[],0.0,3.080738194494322e-05,0.0005952625152625
chb01,chb01_04.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_04.edf,256,17,921600,True,0.0,0.0,[],0.0,2.343547674411645e-05,0.0012856654456654
chb01,chb01_05.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_05.edf,256,17,921600,True,0.0,0.0,[],0.0,2.3356246284126185e-05,0.0013860805860805
chb01,chb01_06.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_06.edf,256,17,921600,True,0.0,0.0,[],0.0,2.368226877289377e-05,0.0015708913308913
chb01,chb01_07.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_07.edf,256,17,921600,True,0.0,0.0,[],0.0,2.369123874264805e-05,0.0014970451770451
chb01,chb01_08.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_08.edf,256,17,921600,True,0.0,0.0,[],0.0,2.004886152110417e-05,0.0014778998778998
chb01,chb01_09.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_09.edf,256,17,921600,True,0.0,0.0,[],0.0,2.460056765583726e-05,0.0015822222222222
chb01,chb01_10.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_10.edf,256,17,921600,True,0.0,0.0,[],0.0,2.409173689418787e-05,0.0015142368742368
chb01,chb01_11.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_11.edf,256,17,921600,True,0.0,0.0,[],0.0,2.361608920990048e-05,0.0009168253968253
chb01,chb01_12.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_12.edf,256,17,921600,True,0.0,0.0,[],0.0,2.592704300737389e-05,0.0012430769230769
chb01,chb01_13.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_13.edf,256,17,921600,True,0.0,0.0,[],0.0,2.2241449973864185e-05,0.0009820757020757
chb01,chb01_14.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_14.edf,256,17,921600,True,0.0,0.0,[],0.0,3.0185929581946734e-05,0.0008761904761904
chb01,chb01_15.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_15.edf,256,17,921600,True,0.0,0.0,[],0.0,3.699708441068735e-05,0.0007355311355311
chb01,chb01_16.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_16.edf,256,17,921600,True,0.0,0.0,[],0.0,3.744558935753788e-05,0.0012180708180708
chb01,chb01_17.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_17.edf,256,17,921600,True,0.0,0.0,[],0.0,3.67198023155131e-05,0.000690989010989
chb01,chb01_18.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb01\chb01_18.edf,256,17,921600,True,0.0,0.0,[],0.0,2.204628908899742e-05,0.0010188034188034
