patient,edf_file,edf_path,sampling_rate,n_channels,n_samples,is_good,nan_ratio,flat_ratio,flat_channels,clipped_ratio,mean_amplitude,max_amplitude
chb15,chb15_01.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_01.edf,256,17,922112,True,0.0,0.0,[],0.0,1.5613069321180826e-05,0.0055487179487179
chb15,chb15_02.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_02.edf,256,17,921600,True,0.0,0.0,[],0.0,1.5649420523195027e-05,0.0024307692307692
chb15,chb15_03.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_03.edf,256,17,921600,True,0.0,0.0,[],0.0,1.2400771579999514e-05,0.00047326007326
chb15,chb15_04.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_04.edf,256,17,921600,True,0.0,0.0,[],0.0,1.2366702690691657e-05,0.0007409035409035
chb15,chb15_05.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_05.edf,256,17,921600,True,0.0,0.0,[],0.0,1.3163877392124934e-05,0.0021758241758241
chb15,chb15_06.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_06.edf,256,17,921600,True,0.0,0.0,[],0.0,1.1063598988384525e-05,0.0004517704517704
chb15,chb15_07.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_07.edf,256,17,921600,True,0.0,0.0,[],0.0,9.270593173166696e-06,0.0005260073260073
chb15,chb15_08.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_08.edf,256,17,921600,True,0.0,0.0,[],0.0,1.1636956509811896e-05,0.0008151404151404
chb15,chb15_09.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_09.edf,256,17,921600,True,0.0,0.0,[],0.0,9.371032307153625e-06,0.0004625152625152
chb15,chb15_10.edf,C:\Users\_\Desktop\IT\epilepsy\files\chbmit\1.0.0\chb15\chb15_10.edf,256,17,921600,True,0.0,0.0,[],0.0,1.086295464588969e-05,0.0013621489621489
